DEGREE,DEGREE_DESCRIPTION
4.5.1,Agricultural Technology
4.5.10,Soil Science
4.5.11,Terrestrial Ecology
4.5.12,Natural resource Studies
4.5.13,Other/General Agricultural Studies n.e.c
4.5.2,Agriculture Related Studies
4.5.3,Countryside Recreation Studies
4.5.4,Gamekeeping Sporting Management
4.5.5,Rural Home Economics
4.5.6,Rural Resource Management
4.5.7,Countryside Management
4.5.8,Landscape Management
4.5.9,Rural Resource Science
5,Physical/Environmenal Sciences
5.1,Chemistry
5.1.1,Biodeterioration of Materials
5.1.10,Chemical Technology
5.1.11,Process Plant Operation
5.1.12,Industrial Chemistry
5.1.13,Polymer Chemistry
5.1.14,Colour Chemistry
5.1.15,Macromolecular Chemistry
5.1.16,Analytical Chemistry
5.1.17,Cosmetic Chemistry
5.1.18,Organic Chemical Synthesis
5.1.19,Surface Coating Technology
5.1.2,Applied Chemistry
5.1.20,Radio Chemistry
5.1.21,Crystallography
5.1.22,Biomolecular Chemistry
5.1.23,Other/General Chemistry n.e.c
5.1.3,Medicinal Chemistry
5.1.4,Bio-organic Chemistry
5.1.5,Environmental Chemistry
5.1.6,Marine Chemistry
5.1.7,Petrochemical Studies
5.1.8,Theoretical Chemistry
5.1.9,Computational Chemistry
5.2,Materials science
5.3,Physics
5.3.1,Applied Physics
5.3.10,Medical Physics
5.3.11,Ecological Physics
5.3.12,Marine Physics
5.3.13,Environmental Physics
5.3.14,Radiation Physics
5.3.15,Physical Research Techniques
5.3.16,Electron Microscopy
5.3.17,Colaration Physics
5.3.18,Other/General Physics n.e.c
5.3.2,Theoretical Physics
5.3.3,Mathematical Physics
5.3.4,Chemical Physics
5.3.5,Physical Electronics
5.3.6,Computational Physics
5.3.7,Technological Physics
5.3.8,Engineering Physics
5.3.9,Laser Physics
5.4,Astronomy
5.4.1,Astronautics
5.4.2,Astrophysics
5.4.3,Other/General Astronomy n.e.c
5.5,Geology
5.5.1,Applied Geology
5.5.10,Geophysics
5.5.11,Exploration Geophysics
5.5.12,Planetary Physics
5.5.13,Geochemistry
5.5.14,Engineering Geomorphology
5.5.15,Other/General Geology n.e.c
5.5.2,Palaeontology
5.5.3,Engineering Geology
5.5.4,Mining Geology
5.5.5,Geotechnology
5.5.6,Marine Geotechnics
5.5.7,Environmental Geology
5.5.8,Geology and Landscape Study
5.5.9,Geological Oceanography
5.6,Oceanography
5.6.1,Ocean Sciences
5.6.2,Marine Sciences
5.6.3,Other/general Oceanography
5.7,Geography (as a science)
5.7.1,Maritime Geography
5.7.2,Environmental Geography
5.7.3,Physical Geography
5.7.4,Topography
5.7.5,Topographical Science
5.7.6,Cartography
5.7.7,Hydrographic Surveying
5.7.8,Other/General Physical Geography n.e.c
5.8,Environmental Science and other Physical Sciences
5.8.1,Environmental Studies
5.8.10,Radiation Science
5.8.11,Quarternary Studies
5.8.12,Other environmental/physical sciences n.e.c
5.8.2,Environmental Science
5.8.3,Human Ecology
5.8.4,Applied Environmental Science
5.8.5,Earth Science
5.8.6,Earth Resources
5.8.7,Pollution Control
5.8.8,Conservation Policy
5.8.9,Meteorology
6,Mathematical Sciences & Computing
6.1,Mathematics
6.1.1,Applied Mathematics
6.1.10,Numerical Analysis
6.1.11,Computational Mathematics
6.1.12,Numeracy
6.1.13,Other/General mathematics n.e.c
6.1.2,Applicable Mathematics
6.1.3,Pure Mathematics
6.1.4,Mathematical Studies
6.1.5,Mathematical Sciences
6.1.6,Industrial Mathematics
6.1.7,Engineering Mathematics
6.1.8,Numerical Mathematics
6.1.9,Numerical Methods
6.2,Statistics
6.2.1,Statistics and Probability
6.2.2,Applied Statistics
6.2.3,Management Statistics
6.2.4,Mathematical Statistics
6.2.5,Operational Statistics
6.2.6,Operational Research Techniques
6.2.7,Other/general statistics n.e.c
6.3,Computing Science
6.3.1,Computer Studies
6.3.10,Systems Analysis and Design
6.3.11,Programming
6.3.12,Computer Education
6.3.13,Computer Appreciation
6.3.14,Information Technology
6.3.15,Information Systems
6.3.16,Applied Information Technology
6.3.17,Information Engineering
6.3.18,Artificial Intelligence
6.3.19,Medical Informatics
6.3.2,Theoretical Computer Science
6.3.20,Other/general computer sciences n.e.c
6.3.3,Computational Science
6.3.4,Applied Computing
6.3.5,Data Processing
6.3.6,Business Computing
6.3.7,Microprocessing
6.3.8,Software Engineering
6.3.9,Software
6.4,other mathematical sciences n.e.c
7,Engineering
7.1,General Engineering
7.1.1,Integrated Engineering
7.1.2,Engineering Management
7.1.3,Refrigeration Engineering
7.1.4,Computer Aided Engineering
7.1.5,Other/General engineering n.e.c
7.2,Civil Engineering
7.2.1,Highway/Traffic Engineering
7.2.10,Soil Mechanics
7.2.11,Water Resource Studies
7.2.12,Public Health Engineering
7.2.13,Other/General Civil Engineering n.e.c
7.2.2,Municipal Engineering
7.2.3,Structural Engineering
7.2.4,Environmental Engineering
7.2.5,Surveying Science
7.2.6,General Practice Surveying
7.2.7,Engineering Surveying
7.2.8,Land Surveying
7.2.9,Geotechnics
7.3,Mechanical Engineering
7.3.1,Mechanisms and Machines
7.3.10,Vehicle Bodywork Maintenance
7.3.11,Road Transport Engineering
7.3.12,Motor Vehicle Electronics
7.3.13,Marine Engineering
7.3.14,Offshore Engineering
7.3.15,Fluid Power Engineering
7.3.16,Heat Exchanger Technology
7.3.17,Turbine Technology
7.3.18,Electro-Mechanical Engineering
7.3.19,Mechanatronic Engineering
7.3.2,Spring Engineering
7.3.20,Other/general Mechanical Engineering n.e.c
7.3.3,Agricultural Engineering
7.3.4,Agricultural/Horticultural Machinery Maintenance
7.3.5,Agricultural Mechanics
7.3.6,Farm Mechanisation
7.3.7,Automotive Engineering
7.3.8,Automobile Assessment
7.3.9,Motor Cycle Engineering
7.4,Aeronautical Engineering
7.4.1,Aerospace Studies
7.4.2,Aerospace Engineering
7.4.3,Air Transport Engineering
7.4.4,Avionics
7.4.5,Aerodynamics
7.4.6,Other/general Aeronautical Engineering n.e.c
7.5,Electrical Engineering
7.5.1,Electrical Power Engineering
7.5.2,Electrical Systems
7.5.3,Electrical and Electronic Engineering
7.5.4,Electrical and Electronic Craft Practice
7.5.5,Power Plant Operation
7.5.6,Other/general Electrical Engineering n.e
7.6,Electrical Engineering
7.6.1,Electrical and Systems Engineering
7.6.10,Optoelectronic Engineering
7.6.11,Instrumentation and Control Engineering
7.6.12,Instrumentation and Systems Engineering
7.6.13,Automation and Control
7.6.14,Measurement and Control
7.6.15,Control Engineering
7.6.16,Electronic Control
7.6.17,Cybernetics and Robotics
7.6.18,Engineering Systems and Control
7.6.19,Ocean Electronics
7.6.2,Computer Systems Engineering
7.6.20,Electronic Servicing
7.6.21,Electronic Musical Instruments
7.6.22,Medical Electronic Engineering
7.6.23,Other/general Electronic Engineering n.e.c
7.6.3,Electronics & Computer Technology
7.6.4,Microelectronics
7.6.5,Engineering of Dynamic Systems
7.6.6,Digital Systems Engineering
7.6.7,Integrated Circuit Engineering
7.6.8,Telecommunications Engineering
7.6.9,Communications Engineering
7.7,Production Engineering
7.7.1,Quality Assurance (Engineering)
7.7.10,Engineering Design
7.7.11,Engineering Design and Manufacture
7.7.12,Engineering Craft
7.7.13,Engineering Drawing
7.7.14,Product Design and Manufacture
7.7.15,Manufacturing Engineering
7.7.16,Manufacturing Systems Engineering
7.7.17,Management Systems Engineering
7.7.18,Engineering Production
7.7.19,Fabrication Engineering Craft Practice
7.7.2,Quality Control
7.7.20,Mechanical Engineering and Maintenance
7.7.21,Sheet Metal Work
7.7.22,Welding
7.7.23,Other/general Production Engineering n.e.c
7.7.3,Production Management
7.7.4,Acoustics and Vibration
7.7.5,Engineering Acoustics and Vibration
7.7.6,Machine Tools
7.7.7,Materials Handling
7.7.8,Industrial Engineering
7.7.9,Instrument Production
7.8,Chemical Engineering
7.8.1,Plant/Process Trades
7.8.10,Biochemical Engineering
7.8.11,Other/general Chemical Engineering n.e.c
7.8.2,Process Management
7.8.3,Chemical Process Engineering
7.8.4,Chemical and Bioprocess Engineering
7.8.5,Gas Engineering
7.8.6,Natural Gas Engineering
7.8.7,Fuel Technology
7.8.8,Boiler House Practice
7.8.9,Combustion Science
7.9,Other/general Engineering n.e.c
8,Technology
8.1,Minerals Technology
8.1.1,Mining Engineering
8.1.10,Minerals Technology
8.1.11,Minerals Surveying
8.1.12,Industrial Minerals
8.1.13,Petroleum Engineering
8.1.14,Mining Related Studies
8.1.15,Colliery Control Engineering
8.1.16,Colliery Electrics/Mechanics
8.1.17,Colliery Management
8.1.18,Colliery Ventilation
8.1.19,Other/general Mineral Technology n.e.c
8.1.2,Quarrying
8.1.3,Mining
8.1.4,Mine Surveying
8.1.5,Mining - Electrical/Mechanical Engineering
8.1.6,Drilling Engineering
8.1.7,Rock Mechanics
8.1.8,Mineral Engineering
8.1.9,Mineral Processing
8.2,Metallurgy
8.2.1,Corrosion Technology
8.2.2,Iron and Steel Related Studies
8.2.3,Foundry Technology
8.2.4,Pattern Making
8.2.5,Other/general Merallurgy n.e.c
8.3,Ceramics and Glass
8.3.1,Ceramics
8.3.2,Ceramic Science and Engineering
8.3.3,Ceramics Technology
8.3.4,Glass Technology
8.3.5,Kiln Burners
8.3.6,Other/General Ceramics and Glass n.e.c
8.4,Polymers and textiles
8.4.1,Science and Technology of Polymers
8.4.10,Textile engineering
8.4.11,Textile Chemistry
8.4.12,Dying and Colouring of Textiles
8.4.13,Knitting Machines
8.4.14,Pattern Cutting
8.4.15,Tailoring
8.4.16,Clothing Technology and Manufacture
8.4.17,Footwear Manufacture
8.4.18,Furriery
8.4.19,Clothing Engineering
8.4.2,Polymer Engineering
8.4.20,Fashion
8.4.21,Fashion Technology
8.4.22,Other/general Polymers and Textiles n.e.c
8.4.3,Plastics
8.4.4,Rubber Technology
8.4.5,Leather Technology
8.4.6,Rural Saddlery
8.4.7,Furniture Production
8.4.8,Timber Technology
8.4.9,Machine Wood Working
8.5,Other materials technology
8.5.1,Materials Engineering
8.5.10,Bookbinding Technologies
8.5.11,Engineering Materials
8.5.12,Paper Technology
8.5.13,Paper Science
8.5.14,Paper Conservation
8.5.15,Materials Technology Related Studies
8.5.16,Gemmology/Gem Diamond
8.5.17,Musical Instrument Technology Manufactur
8.5.18,Silversmithing/Goldsmithing
8.5.19,Packaging
8.5.2,Materials Technology
8.5.20,Mouldmakers
8.5.21,Materials Process Engineering
8.5.22,Other/general Material Technology n.e.c
8.5.3,Printing
8.5.4,Printing Administration
8.5.5,Offset Litho
8.5.6,Photo-Lithography
8.5.7,Reprographic Techniques
8.5.8,Screen Process Printing
8.5.9,Graphic Reproduction
8.6,Maritime Technology
8.6.1,Naval Architecture
8.6.10,Marine Electronics
8.6.11,Marine Radar
8.6.12,Marine Radio
8.6.13,Other/General Maritime Technology n.e.c
8.6.2,Maritime Studies
8.6.3,Yacht and Boat Design
8.6.4,Yacht and Boatbuilding
8.6.5,Yacht and Boatyard Management
8.6.6,Shipbuilding
8.6.7,Marine Plumbing
8.6.8,Ship Science & Technology
8.6.9,Offshore Engineering
8.7,Biotechnology
8.7.1,Biotechnology and Process Biotechnology
8.7.2,Other/General Biotechnology
8.8,Other Technologies
8.8.1,Thermal Insulation
8.8.10,Acoustics
8.8.11,Applied Acoustics
8.8.12,Geological Engineering
8.8.13,Horology
8.8.14,Vibration Technology
8.8.15,Other/General Technology n.e.c
8.8.2,Thermal Power Engineering
8.8.3,Mathematical Engineering
8.8.4,Transport Technology
8.8.5,Transport Engineering
8.8.6,Nuclear Engineering
8.8.7,Energy Studies
8.8.8,Energy Technology Studies
8.8.9,Ergonomics
9,Architecture and related studies
9.1,Architecture
9.1.1,Professional Practice Architecture
9.1.2,Health Facility Planning
9.1.3,Other/General Architectural studies n.e.c
9.2,Building
9.2.1,Building Maintenance/Adaptation/Conserva
9.2.10,Building Construction Engineering
9.2.11,Architectural Engineering
9.2.12,Building Services Engineering
9.2.13,Building Services Engineering - Electrical
9.2.14,Building Services Engineering - HV and AC
9.2.15,Building Services Engineering - Plumbing
9.2.16,Building Services Engineering - Refrigeration
9.2.17,Building Services Engineering-Gas
9.2.18,Construction Management
9.2.19,Construction Plant Mechanics
9.2.2,Building Inspection and Control
9.2.20,Construction Site Supervision
9.2.21,Building Management
9.2.22,Building Surveying
9.2.23,Building Economics
9.2.24,Quantity Surveying
9.2.25,Building Related Studies
9.2.26,Asphalt/Mastic Work
9.2.27,Brickwork
9.2.28,Carpentry and Joinery
9.2.29,Painting/Decorating
9.2.3,Building Regulations
9.2.30,Plasterers Work
9.2.31,Roofslating and Tiling
9.2.32,Shopfitting
9.2.33,Glazing and Allied Trades
9.2.34,Other/General Building Studies n.e.c
9.2.4,Building Maintenance Management
9.2.5,Site Management Studies
9.2.6,Building Technology
9.2.7,Concrete Technology/Practise
9.2.8,Formwork for Concrete Construction
9.2.9,Building Engineering
9.3,Environmental Technologies
9.3.1,Landscape Architecture
9.3.2,Landscape Design
9.3.3,Land Use
9.3.4,Other/general Environmental Technologies
9.4,Town and Country Planning
9.4.1,Regional Planning
9.4.2,Urban and Regional Planning
9.4.3,Town Planning
9.4.4,Town and Urban Planning
9.4.5,Planning Studies
9.4.6,Urban Studies
9.4.7,Housing
9.4.8,Housing Management
9.4.9,Housing Studies
