DEGREE,DEGREE_DESCRIPTION
11.7.1,Institutional House-Keeping and Catering
11.7.10,Hotel Management
11.7.11,Accommodation Studies
11.7.12,Tourism
11.7.13,Travel and Tourism
11.7.14,Home Economics
11.7.15,Cookery
11.7.16,Home and Community Studies
11.7.17,Home Management
11.7.18,House-Keeping and Catering
11.7.19,Demonstrators
11.7.2,Institutional Management
11.7.20,Food Service
11.7.21,Licensed Trade
11.7.22,Wines and Spirits/Alcoholic Beverages
11.7.23,Baking
11.7.24,Baking Technology
11.7.25,Design and Decoration of Flour Confectio
11.7.26,Other/General Catering and Institutional Management n.e.c
11.7.3,Catering
11.7.4,Catering Management
11.7.5,Hotel Chefs
11.7.6,Hotel and Catering Administration
11.7.7,Restaurant Operations
11.7.8,Hotel Reception
11.7.9,Hotel & Catering Management
11.8,Land and Property Management
11.8.1,Rural Land Management
11.8.2,Estate Management and Valuation
11.8.3,Rating and Valuation
11.8.4,Valuers and Auctioneers and General Practice
11.8.5,Property Surveying
11.8.6,Property Surveying and Valuation
11.8.7,Land Economy
11.8.8,Property Development
11.8.9,Other/General Land & Property Management n.e.c
11.9,Transport other business A admin studies
11.9.1,Port Operations
11.9.10,Transport Management
11.9.11,Transport Management & Operation
11.9.12,Textile Management
11.9.13,Shipping
11.9.14,Shipbroking
11.9.15,Freight Forwarding
11.9.16,Navigation
11.9.17,Yachting
11.9.18,Maritime Studies
11.9.19,Deck Officer Studies
11.9.2,Maritime Commerce
11.9.20,Sea Survival
11.9.21,Pre-Sea Training
11.9.22,First Aid
11.9.23,Fisheries
11.9.24,Sea Fishing
11.9.25,Consumer Studies
11.9.26,Consumer Affairs
11.9.27,Trading Standards
11.9.28,Postal Related Services
11.9.29,Baths Management
11.9.3,Marine Resource Management
11.9.30,Report Writing
11.9.31,Other Transport other business & admin studies n.e.c
11.9.4,Transport
11.9.5,Air Transport
11.9.6,Road Transport
11.9.7,Transport Planning
11.9.8,Road Safety Studies
11.9.9,Private Pilot
12,Librarianship and Information Studies
12.1,Librarianship
12.1.1,School Library Studies
12.1.2,Technical Communication/Authorship
12.1.3,Museum Studies
12.1.4,Archive Studies
12.1.5,Other/General Librarianship n.e.c
12.2,Information Science
12.2.1,Information Management
12.2.2,Other/General Information Science
12.3,Communication Studies
12.3.1,Communications
12.3.2,Human Communication
12.3.3,Other/General Communication Studies
12.4,Media Studies
12.4.1,Media and Television Studies
12.4.2,Public Relations
12.4.3,Advertising Writing
12.4.4,Studio and Production Techniques
12.4.5,Media Studies in Europe
12.4.6,Other General Media Studies n.e.c
12.5,Publishing
12.6,Journalism
13,Linguistics English Celtic & Ancient Languages
13.1,Linguistics
13.1.1,Applied Linguistics
13.1.2,Computational Linguistics
13.1.3,Linguistics and Phonetics
13.1.4,Phonetics
13.1.5,Language Studies & Philology
13.1.6,Aspects of Language in Community
13.1.7,Theoretical Linguistics
13.1.8,Psycholinguistics
13.1.9,Other/General Linguistics n.e.c
13.10,Other Ancient Languages & Literature
13.10.1,Ancient Near-Eastern Studies
13.10.10,Hebrew (Classical)
13.10.11,Hebrew (Biblical)
13.10.12,Oriental Studies
13.10.13,Other/General Ancient Languages & Literature n.e.c
13.10.2,Ancient Egyptian and Egyptology
13.10.3,Coptic
13.10.4,Arabic/lslamic (Classical)
13.10.5,Akkadian
13.10.6,Sumerian
13.10.7,Aramaic
13.10.8,Sanskrit
13.10.9,Prakrit
13.2,Comparitive Literature
13.2.1,Literature
13.2.2,Literary Studies
13.2.3,English Literature and European Literature in Translation
13.2.4,Scottish Literature
13.2.5,Other/General Comparitive Literature
13.3,English
13.3.1,Modern English Studies
13.3.2,English Language
13.3.3,English Literature
13.3.4,Literature Life and Thought
13.3.5,English for Speakers of Other Languages
13.3.6,Other/General English n.e.c
13.4,Literacy
13.5,American Studies
13.5.1,American Literature
13.5.2,United States Literature
13.5.3,Other/General American Studies n.e.c
13.6,Celtic Languages Literature & Culture
13.6.1,Celtic Studies
13.6.2,Gaelic
13.6.3,Welsh
13.6.4,Welsh for Adults
13.6.5,Irish
13.6.6,Gaelic and Irish
13.6.7,Irish Studies
13.6.8,Other/General Celtic Studies n.e.c
13.7,Latin Language A Culture
13.7.1,Latin Language
13.7.2,Latin Literature
13.7.3,Latin Literature in Translation
13.7.4,Other General Latin studies n.e.c
13.8,Ancient Greek Language and Literature
13.8.1,Classical Greek Language & Literature
13.8.2,Ancient Greek Language
13.8.3,Ancient Greek Literature
13.8.4,Ancient Greek Literature in Translation
13.8.5,Other/General Ancient Greek studies n.e.c
13.9,Classics
13.9.1,Classical Studies
13.9.2,Classical Civilisation
13.9.3,Roman Studies
13.9.4,Byzantine Studies
13.9.5,Other/General Classics n.e.c
14,European Languages
14.1,French Language. Literature and Culture
14.1.1,French Language
14.1.2,French Studies (in translation)
14.1.3,Occitan
14.1.4,Other/General French Studies n.e.c
14.10,Other European Languages. Literature & Culture
14.10.1,European Studies
14.10.2,West European Studies
14.10.3,Dutch
14.10.4,Romance Languages
14.10.5,Modern Greek
14.10.6,Dutch and Modern Greek
14.10.7,Other/General European studies n.e.c
14.2,German Language. Literature & Culture
14.2.1,German Language
14.2.2,German Studies (in translation)
14.2.3,Other/General German studies
14.3,Italian Language. Literature & Culture
14.3.1,Italian Language
14.3.2,Italian Studies (in translation)
14.3.3,Other/General Italian studies
14.4,Spanish Language. Literature & Culture
14.4.1,Spanish Language
14.4.2,Spanish Studies (in translation)
14.4.3,Catalan
14.4.4,Iberian
14.4.5,Hispanic Studies
14.4.6,Other Spanish studies
14.5,Portuguese Language. Literature & Culture
14.6,Latin American Languages. Literature & Culture
14.6.1,Latin American Languages
14.6.2,Latin American Studies (in translation)
14.6.3,Latin American Literature
14.6.4,Other/general Latin American studies n.e.c
14.7,Scandinavian Languages. Literature & Culture
14.7.1,Scandinavian Studies
14.7.2,Swedish
14.7.3,Danish
14.7.4,Finnish
14.7.5,Norwegian
14.7.6,Other/General Scandinavian Studies n.e.c
14.8,Russian Languages. Literature & Culture
14.8.1,Russian and Soviet Studies
14.8.2,Russian Language
14.8.3,Russian Studies (in translation)
14.8.4,Russian Literature
14.8.5,Other/General Russian Studies n.e.c
14.9,Slavonic & East European Languages. Literature & Culture
14.9.1,East European Studies
14.9.2,Bulgarian
14.9.3,Czech & Slovak
14.9.4,Hungarian
14.9.5,Polish
14.9.6,Romanian
14.9.7,Serbo-Croat
14.9.8,Other/General Slavonic & East European Studies n.e.c
15,Other Languages
15.1,Chinese Languages. Literature & Culture
15.1.1,Modern Chinese
15.1.2,Chinese Studies
